District,Block,Month of Data Collection,Plantation Year,Tree Type,Tree species,Latitude,Longitude,GBH_cm,DBH_cm,Tree Height_foot,North South_Tree Crown Size_Foot,East West_Tree Crown Size_foot,Tree Crown_foot,tree_age_years
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Mango,18.7726453,74.4462727,19,6.050955414,4,3,3,3,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Mango,18.7726309,74.4461008,15,4.777070064,5,3,3,3,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Mango,18.7726521,74.4460702,20,6.369426752,7,6,6,6,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Mango,18.772711,74.4460003,22,7.006369427,8,6,6,6,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Mango,18.772718,74.445817,23,7.324840764,6,4,4,4,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Mango,18.7727109,74.445721,27,8.598726115,7,6,6,6,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Mango,18.7727495,74.4456232,15,4.777070064,4,3,4,3.5,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Mango,18.7727564,74.4455547,17,5.414012739,5,4,4,4,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Mango,18.7724659,74.4464447,20,6.369426752,6,4,4,4,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Mango,18.7725204,74.4463367,16,5.095541401,6,4,4,4,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Mango,18.7725084,74.4463081,21,6.687898089,8,6,6,6,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Mango,18.7725402,74.4461439,21,6.687898089,7,4,4,4,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Mango,18.7725406,74.4460064,15,4.777070064,5,3,3,3,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Mango,18.7726082,74.4458958,16,5.095541401,4,4,4,4,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Mango,18.7726754,74.4458681,19,6.050955414,7,6,6,6,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Mango,18.7727126,74.44561,20,6.369426752,7,5,5,5,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Mango,18.7726986,74.4454582,16,5.095541401,6,5,4,4.5,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Mango,18.7722848,74.4464541,18,5.732484076,7,5,5,5,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Mango,18.772408,74.4463287,25,7.961783439,6,5,5,5,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Mango,18.772475,74.4462215,22,7.006369427,6,5,5,5,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Mango,18.7724821,74.4460906,20,6.369426752,8,6,5,5.5,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Mango,18.7724981,74.4460893,20,6.369426752,6,5,5,5,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Mango,18.7725005,74.4459635,20,6.369426752,6,5,5,5,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Mango,18.7726089,74.4457529,25,7.961783439,6,5,5,5,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Mango,18.772539,74.4457308,25,7.961783439,6,5,5,5,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Mango,18.7725199,74.4456264,17,5.414012739,5,5,4,4.5,3.25
Ahmednagar,Shrigonda,July 2023,2019,Fruit,Lemon,18.7762604,74.4493728,43,13.69426752,8,7,7,7,4.25
Ahmednagar,Shrigonda,July 2023,2019,Fruit,Lemon,18.7762827,74.4493642,41,13.05732484,9,7,7,7,4.25
Ahmednagar,Shrigonda,July 2023,2019,Fruit,Lemon,18.7763296,74.4493013,48,15.2866242,9,8,8,8,4.25
Ahmednagar,Shrigonda,July 2023,2019,Fruit,Lemon,18.7762874,74.4491761,100,31.84713376,9,8,8,8,4.25
Ahmednagar,Shrigonda,July 2023,2019,Fruit,Lemon,18.7763504,74.4490672,100,31.84713376,10,10,9,9.5,4.25
Ahmednagar,Shrigonda,July 2023,2019,Fruit,Lemon,18.7763532,74.4490436,98,31.21019108,10,8,8,8,4.25
Ahmednagar,Shrigonda,July 2023,2019,Fruit,Lemon,18.7763574,74.4488892,38,12.10191083,9,7,7,7,4.25
Ahmednagar,Shrigonda,July 2023,2019,Fruit,Lemon,18.7763943,74.4488335,48,15.2866242,10,8,9,8.5,4.25
Ahmednagar,Shrigonda,July 2023,2019,Fruit,Lemon,18.7762097,74.4492677,41,13.05732484,10,9,9,9,4.25
Ahmednagar,Shrigonda,July 2023,2019,Fruit,Lemon,18.7762211,74.4492213,48,15.2866242,10,8,8,8,4.25
Ahmednagar,Shrigonda,July 2023,2019,Fruit,Lemon,18.7762345,74.4490419,33,10.50955414,9,8,8,8,4.25
Ahmednagar,Shrigonda,July 2023,2019,Fruit,Lemon,18.7763061,74.4489977,48,15.2866242,9,8,8,8,4.25
Ahmednagar,Shrigonda,July 2023,2019,Fruit,Lemon,18.7762596,74.4489454,45,14.33121019,10,9,9,9,4.25
Ahmednagar,Shrigonda,July 2023,2019,Fruit,Lemon,18.7763222,74.4488266,43,13.69426752,10,9,9,9,4.25
Ahmednagar,Shrigonda,July 2023,2019,Fruit,Lemon,18.7763437,74.4488103,30,9.554140127,9,5,6,5.5,4.25
Ahmednagar,Shrigonda,July 2023,2019,Fruit,Lemon,18.7761144,74.4493027,34,10.82802548,8,6,6,6,4.25
Ahmednagar,Shrigonda,July 2023,2019,Fruit,Lemon,18.7760933,74.4492459,35,11.14649682,10,9,9,9,4.25
Ahmednagar,Shrigonda,July 2023,2019,Fruit,Lemon,18.7761486,74.4491357,44,14.01273885,9,8,8,8,4.25
Ahmednagar,Shrigonda,July 2023,2019,Fruit,Lemon,18.7761801,74.449167,41,13.05732484,10,9,9,9,4.25
Ahmednagar,Shrigonda,July 2023,2019,Fruit,Lemon,18.7761893,74.4490194,44,14.01273885,10,9,9,9,4.25
Ahmednagar,Shrigonda,July 2023,2019,Fruit,Lemon,18.7762219,74.4489209,62,19.74522293,11,10,10,10,4.25
Ahmednagar,Shrigonda,July 2023,2019,Fruit,Lemon,18.7762329,74.4488668,41,13.05732484,12,10,10,10,4.25
Ahmednagar,Shrigonda,July 2023,2019,Fruit,Lemon,18.7762515,74.448799,48,15.2866242,8,6,6,6,4.25
Ahmednagar,Shrigonda,July 2023,2019,Fruit,Lemon,18.7760272,74.44926,51,16.24203822,10,10,10,10,4.25
Ahmednagar,Shrigonda,July 2023,2019,Fruit,Lemon,18.7760574,74.4492263,53,16.87898089,9,9,9,9,4.25
Ahmednagar,Shrigonda,July 2023,2019,Fruit,Lemon,18.7761189,74.448962,25,7.961783439,8,6,7,6.5,4.25
Ahmednagar,Shrigonda,July 2023,2019,Fruit,Lemon,18.7760684,74.4488914,28,8.917197452,6,5,5,5,4.25
Ahmednagar,Shrigonda,July 2023,2019,Fruit,Lemon,18.7761884,74.4487581,51,16.24203822,10,9,9,9,4.25
Ahmednagar,Shrigonda,July 2023,2019,Fruit,Lemon,18.7761608,74.4487448,32,10.1910828,8,7,6,6.5,4.25
Ahmednagar,Shrigonda,July 2023,2019,Fruit,Lemon,18.7761857,74.4486095,50,15.92356688,9,8,9,8.5,4.25
Ahmednagar,Shrigonda,July 2023,2019,Fruit,Lemon,18.7759521,74.4491316,49,15.60509554,10,9,9,9,4.25
Ahmednagar,Shrigonda,July 2023,2019,Fruit,Lemon,18.7758526,74.4491267,47,14.96815287,12,10,10,10,4.25
Ahmednagar,Shrigonda,July 2023,2019,Fruit,Lemon,18.7759834,74.4489398,59,18.78980892,12,10,10,10,4.25
Ahmednagar,Shrigonda,July 2023,2019,Fruit,Lemon,18.7760137,74.448884,52,16.56050955,10,10,10,10,4.25
Ahmednagar,Shrigonda,July 2023,2019,Fruit,Lemon,18.7760166,74.4487838,46,14.64968153,8,8,8,8,4.25
Ahmednagar,Shrigonda,July 2023,2019,Fruit,Lemon,18.7761293,74.4485876,45,14.33121019,10,8,9,8.5,4.25
Ahmednagar,Shrigonda,July 2023,2019,Fruit,Lemon,18.7761407,74.4487653,38,12.10191083,10,9,10,9.5,4.25
Ahmednagar,Shrigonda,July 2023,2019,Fruit,Lemon,18.7758249,74.4491266,42,13.37579618,10,9,9,9,4.25
Ahmednagar,Shrigonda,July 2023,2019,Fruit,Lemon,18.7758781,74.448946,62,19.74522293,12,10,10,10,4.25
Ahmednagar,Shrigonda,July 2023,2019,Fruit,Lemon,18.7759189,74.4489555,59,18.78980892,10,8,8,8,4.25
Ahmednagar,Shrigonda,July 2023,2019,Fruit,Lemon,18.7759429,74.448828,36,11.46496815,8,6,6,6,4.25
Ahmednagar,Shrigonda,July 2023,2019,Fruit,Lemon,18.7759679,74.4487386,45,14.33121019,9,8,8,8,4.25
Ahmednagar,Shrigonda,July 2023,2019,Fruit,Lemon,18.7758522,74.4489378,51,16.24203822,10,8,9,8.5,4.25
Ahmednagar,Shrigonda,July 2023,2019,Fruit,Lemon,18.7757649,74.4491266,45,14.33121019,10,9,9,9,4.25
Ahmednagar,Shrigonda,July 2023,2019,Fruit,Lemon,18.7758427,74.4490055,49,15.60509554,10,8,8,8,4.25
Ahmednagar,Shrigonda,July 2023,2019,Fruit,Lemon,18.7758495,74.4488766,46,14.64968153,8,7,7,7,4.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Guava,18.8163487,74.4599078,17,5.414012739,6,3,3,3,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Guava,18.8163966,74.4599441,14,4.458598726,5,3,3,3,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Guava,18.8165735,74.4599719,13,4.140127389,5,3,3,3,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Guava,18.8166443,74.4599134,11,3.503184713,3,2,2,2,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Guava,18.8166461,74.4599872,15,4.777070064,6,3,3,3,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Guava,18.8169269,74.4600224,29,9.23566879,5,3,3,3,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Guava,18.816982,74.4600255,17,5.414012739,5,3,3,3,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Guava,18.8170587,74.4600239,18,5.732484076,6,3,3,3,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Guava,18.8171718,74.4600691,21,6.687898089,6,3,3,3,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Guava,18.8172839,74.4600309,22,7.006369427,6,3,3,3,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Guava,18.8173878,74.4600608,41,13.05732484,7,4,4,4,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Guava,18.8174411,74.4600348,20,6.369426752,6,3,3,3,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Guava,18.8162896,74.4599296,13,4.140127389,6,3,3,3,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Guava,18.8163948,74.4599662,12,3.821656051,4,2,2,2,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Guava,18.81641,74.4599933,18,5.732484076,6,4,4,4,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Mango,18.8165744,74.46004,18,5.732484076,6,3,3,3,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Guava,18.8166938,74.4600457,17,5.414012739,6,3,3,3,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Guava,18.8167443,74.4600599,21,6.687898089,6,3,3,3,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Guava,18.8170185,74.4600975,33,10.50955414,7,4,4,4,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Guava,18.8170378,74.4600772,25,7.961783439,7,4,4,4,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Guava,18.817148,74.4601312,28,8.917197452,8,4,4,4,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Guava,18.8172611,74.4600678,23,7.324840764,6,4,4,4,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Guava,18.8173825,74.4601374,22,7.006369427,8,4,4,4,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Guava,18.8175665,74.4601286,32,10.1910828,8,4,4,4,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Guava,18.8175261,74.4602,15,4.777070064,7,4,4,4,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Guava,18.8163581,74.4600748,15,4.777070064,6,3,3,3,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Guava,18.8164578,74.4600637,16,5.095541401,6,3,3,3,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Guava,18.8165086,74.4600826,19,6.050955414,8,4,4,4,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Guava,18.8165754,74.4600876,15,4.777070064,5,3,3,3,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Guava,18.8166617,74.4601172,28,8.917197452,5,3,3,3,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Guava,18.8169011,74.4601511,15,4.777070064,6,3,3,3,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Guava,18.8169613,74.4601413,30,9.554140127,7,4,5,4.5,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Guava,18.8170114,74.4601812,15,4.777070064,8,4,4,4,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Guava,18.8172493,74.4601822,19,6.050955414,6,3,3,3,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Guava,18.8173428,74.46028,28,8.917197452,6,4,3,3.5,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Guava,18.8173451,74.4601643,35,11.14649682,8,4,4,4,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Guava,18.8174091,74.4601909,21,6.687898089,6,4,3,3.5,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Guava,18.8174892,74.4602095,22,7.006369427,8,4,4,4,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Guava,18.8175652,74.4602003,17,5.414012739,8,4,4,4,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Guava,18.8162966,74.4601228,17,5.414012739,8,4,4,4,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Guava,18.8164735,74.4601552,17,5.414012739,6,3,3,3,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Guava,18.8165131,74.460144,23,7.324840764,6,3,3,3,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Guava,18.8166857,74.4601651,23,7.324840764,6,4,3,3.5,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Guava,18.8168649,74.4602007,16,5.095541401,5,3,3,3,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Guava,18.8168961,74.4601984,20,6.369426752,8,4,4,4,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Guava,18.8170156,74.4601958,22,7.006369427,8,4,4,4,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Guava,18.8170722,74.4602409,16,5.095541401,8,4,4,4,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Guava,18.8171395,74.4602402,18,5.732484076,6,4,4,4,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Guava,18.8173353,74.4602867,15,4.777070064,6,4,4,4,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Guava,18.817297,74.4602366,18,5.732484076,8,4,4,4,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Guava,18.8174444,74.4602686,15,4.777070064,6,4,4,4,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Guava,18.8175462,74.4602693,32,10.1910828,6,4,4,4,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Guava,18.8163186,74.4601684,15,4.777070064,6,4,3,3.5,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Guava,18.8162781,74.4601817,15,4.777070064,6,3,3,3,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Guava,18.8164397,74.4601537,19,6.050955414,7,4,4,4,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Guava,18.8164516,74.4602126,16,5.095541401,5,5,4,4.5,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Guava,18.8165418,74.4602198,12,3.821656051,5,3,3,3,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Guava,18.8166443,74.4602148,21,6.687898089,8,4,4,4,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Guava,18.8168208,74.4602436,25,7.961783439,6,4,3,3.5,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Guava,18.8170327,74.4602846,16,5.095541401,9,5,4,4.5,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Guava,18.8170226,74.4602543,21,6.687898089,8,4,4,4,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Guava,18.8170855,74.4602828,16,5.095541401,6,4,3,3.5,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Guava,18.8171807,74.4604052,16,5.095541401,6,3,3,3,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Guava,18.8173684,74.4603298,24,7.643312102,9,4,4,4,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Guava,18.8174011,74.4603407,33,10.50955414,8,4,4,4,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Guava,18.8174857,74.4602981,17,5.414012739,8,3,4,3.5,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Guava,18.8175429,74.4603364,40,12.7388535,8,4,4,4,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Guava,18.8162012,74.4602168,25,7.961783439,8,4,4,4,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Guava,18.8162888,74.4602361,24,7.643312102,9,5,5,5,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Guava,18.8164077,74.4602463,19,6.050955414,6,4,4,4,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Guava,18.8165346,74.4602226,22,7.006369427,6,3,3,3,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Guava,18.8165735,74.460267,20,6.369426752,5,3,3,3,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Guava,18.8166778,74.4603035,26,8.280254777,6,4,4,4,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Guava,18.8161679,74.4602903,36,11.46496815,8,4,4,4,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Guava,18.8161586,74.4602465,22,7.006369427,5,3,3,3,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Guava,18.8162765,74.4602876,24,7.643312102,7,4,4,4,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Guava,18.8162962,74.4602834,21,6.687898089,7,4,5,4.5,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Guava,18.8164485,74.4603147,25,7.961783439,6,4,4,4,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Guava,18.816506,74.460356,22,7.006369427,8,4,4,4,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Guava,18.81662,74.4603479,27,8.598726115,8,4,5,4.5,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Guava,18.8166603,74.4603927,27,8.598726115,6,4,4,4,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Guava,18.8161361,74.4603177,22,7.006369427,7,4,4,4,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Guava,18.8162231,74.46034,27,8.598726115,6,3,3,3,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Guava,18.8163146,74.4603539,41,13.05732484,8,4,5,4.5,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Guava,18.8164107,74.4603706,35,11.14649682,8,4,4,4,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Guava,18.8165189,74.4604032,19,6.050955414,6,4,4,4,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Guava,18.8165643,74.4604071,22,7.006369427,8,4,4,4,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Mango,18.9055281,74.4317836,18,5.732484076,7,4,4,4,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Mango,18.9054389,74.4317536,25,7.961783439,8,6,6,6,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Mango,18.9053785,74.4316597,18,5.732484076,4,2,2,2,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Mango,18.9052296,74.4315587,20,6.369426752,7,6,6,6,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Mango,18.9051645,74.4315604,24,7.643312102,9,6,6,6,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Mango,18.9053969,74.4318279,20,6.369426752,8,5,6,5.5,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Mango,18.9053437,74.4317793,18,5.732484076,6,4,5,4.5,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Mango,18.9053053,74.4317551,18,5.732484076,6,5,5,5,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Mango,18.9053122,74.4317011,24,7.643312102,9,6,6,6,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Mango,18.9052732,74.4316925,19,6.050955414,7,5,5,5,3.25
