District,Block,Month of Data Collection,Plantation Year,Tree Type,Tree species,Latitude,Longitude,GBH_cm,DBH_cm,Tree Height_foot,North South_Tree Crown Size_Foot,East West_Tree Crown Size_foot,Tree Crown_foot,tree_age_years,height_m,crown_m,_age_informative
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Mango,18.7728935,74.4458148,24.0,7.639437268,8.0,4.0,5.0,4.5,3.25,2.4384,1.3716000000000002,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Mango,18.7729348,74.4455921,28.0,8.912676813,6.0,5.0,4.0,4.5,3.25,1.8288000000000002,1.3716000000000002,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Mango,18.7729349,74.4455941,18.0,5.729577951,6.0,4.0,4.0,4.0,3.25,1.8288000000000002,1.2192,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Mango,18.772616,74.4465228,19.0,6.047887837,7.0,4.0,5.0,4.5,3.25,2.1336,1.3716000000000002,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Mango,18.7727255,74.4462821,24.0,7.639437268,6.0,4.0,4.0,4.0,3.25,1.8288000000000002,1.2192,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Mango,18.7726999,74.4461818,28.0,8.912676813,8.0,6.0,5.0,5.5,3.25,2.4384,1.6764000000000001,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Mango,18.7727446,74.4460947,22.0,7.002817496,5.0,3.0,4.0,3.5,3.25,1.524,1.0668,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Mango,18.7727695,74.4460287,20.0,6.366197724,8.0,6.0,5.0,5.5,3.25,2.4384,1.6764000000000001,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Mango,18.7727947,74.4458023,20.0,6.366197724,6.0,7.0,5.0,6.0,3.25,1.8288000000000002,1.8288000000000002,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Mango,18.7727916,74.445802,15.0,4.774648293,6.0,4.0,4.0,4.0,3.25,1.8288000000000002,1.2192,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Mango,18.7728637,74.445603,17.0,5.414012739,5.0,4.0,4.0,4.0,3.25,1.524,1.2192,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Mango,18.7728478,74.4455759,20.0,6.369426752,8.0,4.0,4.0,4.0,3.25,2.4384,1.2192,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Mango,18.7726144,74.4464776,20.0,6.369426752,8.0,5.0,5.0,5.0,3.25,2.4384,1.524,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Mango,18.7726453,74.4462727,19.0,6.050955414,4.0,3.0,3.0,3.0,3.25,1.2192,0.9144000000000001,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Mango,18.7726309,74.4461008,15.0,4.777070064,5.0,3.0,3.0,3.0,3.25,1.524,0.9144000000000001,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Mango,18.7726521,74.4460702,20.0,6.369426752,7.0,6.0,6.0,6.0,3.25,2.1336,1.8288000000000002,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Mango,18.7727109,74.445721,27.0,8.598726115,7.0,6.0,6.0,6.0,3.25,2.1336,1.8288000000000002,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Mango,18.7727495,74.4456232,15.0,4.777070064,4.0,3.0,4.0,3.5,3.25,1.2192,1.0668,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Mango,18.7727564,74.4455547,17.0,5.414012739,5.0,4.0,4.0,4.0,3.25,1.524,1.2192,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Mango,18.7724659,74.4464447,20.0,6.369426752,6.0,4.0,4.0,4.0,3.25,1.8288000000000002,1.2192,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Mango,18.7725204,74.4463367,16.0,5.095541401,6.0,4.0,4.0,4.0,3.25,1.8288000000000002,1.2192,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Mango,18.7725402,74.4461439,21.0,6.687898089,7.0,4.0,4.0,4.0,3.25,2.1336,1.2192,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Mango,18.7725406,74.4460064,15.0,4.777070064,5.0,3.0,3.0,3.0,3.25,1.524,0.9144000000000001,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Mango,18.7726082,74.4458958,16.0,5.095541401,4.0,4.0,4.0,4.0,3.25,1.2192,1.2192,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Mango,18.7726754,74.4458681,19.0,6.050955414,7.0,6.0,6.0,6.0,3.25,2.1336,1.8288000000000002,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Mango,18.7727126,74.44561,20.0,6.369426752,7.0,5.0,5.0,5.0,3.25,2.1336,1.524,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Mango,18.7726986,74.4454582,16.0,5.095541401,6.0,5.0,4.0,4.5,3.25,1.8288000000000002,1.3716000000000002,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Mango,18.7722848,74.4464541,18.0,5.732484076,7.0,5.0,5.0,5.0,3.25,2.1336,1.524,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Mango,18.772408,74.4463287,25.0,7.961783439,6.0,5.0,5.0,5.0,3.25,1.8288000000000002,1.524,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Mango,18.772475,74.4462215,22.0,7.006369427,6.0,5.0,5.0,5.0,3.25,1.8288000000000002,1.524,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Mango,18.7724821,74.4460906,20.0,6.369426752,8.0,6.0,5.0,5.5,3.25,2.4384,1.6764000000000001,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Mango,18.7724981,74.4460893,20.0,6.369426752,6.0,5.0,5.0,5.0,3.25,1.8288000000000002,1.524,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Mango,18.7725005,74.4459635,20.0,6.369426752,6.0,5.0,5.0,5.0,3.25,1.8288000000000002,1.524,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Mango,18.7726089,74.4457529,25.0,7.961783439,6.0,5.0,5.0,5.0,3.25,1.8288000000000002,1.524,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Mango,18.7725199,74.4456264,17.0,5.414012739,5.0,5.0,4.0,4.5,3.25,1.524,1.3716000000000002,1.0
Ahmednagar,Shrigonda,July 2023,2019.0,Fruit,Lemon,18.7762827,74.4493642,41.0,13.05732484,9.0,7.0,7.0,7.0,4.25,2.7432000000000003,2.1336,1.0
Ahmednagar,Shrigonda,July 2023,2019.0,Fruit,Lemon,18.7763296,74.4493013,48.0,15.2866242,9.0,8.0,8.0,8.0,4.25,2.7432000000000003,2.4384,1.0
Ahmednagar,Shrigonda,July 2023,2019.0,Fruit,Lemon,18.7762874,74.4491761,100.0,31.84713376,9.0,8.0,8.0,8.0,4.25,2.7432000000000003,2.4384,1.0
Ahmednagar,Shrigonda,July 2023,2019.0,Fruit,Lemon,18.7763504,74.4490672,100.0,31.84713376,10.0,10.0,9.0,9.5,4.25,3.048,2.8956,1.0
Ahmednagar,Shrigonda,July 2023,2019.0,Fruit,Lemon,18.7763532,74.4490436,98.0,31.21019108,10.0,8.0,8.0,8.0,4.25,3.048,2.4384,1.0
Ahmednagar,Shrigonda,July 2023,2019.0,Fruit,Lemon,18.7763574,74.4488892,38.0,12.10191083,9.0,7.0,7.0,7.0,4.25,2.7432000000000003,2.1336,1.0
Ahmednagar,Shrigonda,July 2023,2019.0,Fruit,Lemon,18.7763943,74.4488335,48.0,15.2866242,10.0,8.0,9.0,8.5,4.25,3.048,2.5908,1.0
Ahmednagar,Shrigonda,July 2023,2019.0,Fruit,Lemon,18.7762211,74.4492213,48.0,15.2866242,10.0,8.0,8.0,8.0,4.25,3.048,2.4384,1.0
Ahmednagar,Shrigonda,July 2023,2019.0,Fruit,Lemon,18.7762345,74.4490419,33.0,10.50955414,9.0,8.0,8.0,8.0,4.25,2.7432000000000003,2.4384,1.0
Ahmednagar,Shrigonda,July 2023,2019.0,Fruit,Lemon,18.7763061,74.4489977,48.0,15.2866242,9.0,8.0,8.0,8.0,4.25,2.7432000000000003,2.4384,1.0
Ahmednagar,Shrigonda,July 2023,2019.0,Fruit,Lemon,18.7762596,74.4489454,45.0,14.33121019,10.0,9.0,9.0,9.0,4.25,3.048,2.7432000000000003,1.0
Ahmednagar,Shrigonda,July 2023,2019.0,Fruit,Lemon,18.7763437,74.4488103,30.0,9.554140127,9.0,5.0,6.0,5.5,4.25,2.7432000000000003,1.6764000000000001,1.0
Ahmednagar,Shrigonda,July 2023,2019.0,Fruit,Lemon,18.7761144,74.4493027,34.0,10.82802548,8.0,6.0,6.0,6.0,4.25,2.4384,1.8288000000000002,1.0
Ahmednagar,Shrigonda,July 2023,2019.0,Fruit,Lemon,18.7760933,74.4492459,35.0,11.14649682,10.0,9.0,9.0,9.0,4.25,3.048,2.7432000000000003,1.0
Ahmednagar,Shrigonda,July 2023,2019.0,Fruit,Lemon,18.7761486,74.4491357,44.0,14.01273885,9.0,8.0,8.0,8.0,4.25,2.7432000000000003,2.4384,1.0
Ahmednagar,Shrigonda,July 2023,2019.0,Fruit,Lemon,18.7761801,74.449167,41.0,13.05732484,10.0,9.0,9.0,9.0,4.25,3.048,2.7432000000000003,1.0
Ahmednagar,Shrigonda,July 2023,2019.0,Fruit,Lemon,18.7761893,74.4490194,44.0,14.01273885,10.0,9.0,9.0,9.0,4.25,3.048,2.7432000000000003,1.0
Ahmednagar,Shrigonda,July 2023,2019.0,Fruit,Lemon,18.7762329,74.4488668,41.0,13.05732484,12.0,10.0,10.0,10.0,4.25,3.6576000000000004,3.048,1.0
Ahmednagar,Shrigonda,July 2023,2019.0,Fruit,Lemon,18.7762515,74.448799,48.0,15.2866242,8.0,6.0,6.0,6.0,4.25,2.4384,1.8288000000000002,1.0
Ahmednagar,Shrigonda,July 2023,2019.0,Fruit,Lemon,18.7760272,74.44926,51.0,16.24203822,10.0,10.0,10.0,10.0,4.25,3.048,3.048,1.0
Ahmednagar,Shrigonda,July 2023,2019.0,Fruit,Lemon,18.7760574,74.4492263,53.0,16.87898089,9.0,9.0,9.0,9.0,4.25,2.7432000000000003,2.7432000000000003,1.0
Ahmednagar,Shrigonda,July 2023,2019.0,Fruit,Lemon,18.7761189,74.448962,25.0,7.961783439,8.0,6.0,7.0,6.5,4.25,2.4384,1.9812,1.0
Ahmednagar,Shrigonda,July 2023,2019.0,Fruit,Lemon,18.7760684,74.4488914,28.0,8.917197452,6.0,5.0,5.0,5.0,4.25,1.8288000000000002,1.524,1.0
Ahmednagar,Shrigonda,July 2023,2019.0,Fruit,Lemon,18.7761884,74.4487581,51.0,16.24203822,10.0,9.0,9.0,9.0,4.25,3.048,2.7432000000000003,1.0
Ahmednagar,Shrigonda,July 2023,2019.0,Fruit,Lemon,18.7761608,74.4487448,32.0,10.1910828,8.0,7.0,6.0,6.5,4.25,2.4384,1.9812,1.0
Ahmednagar,Shrigonda,July 2023,2019.0,Fruit,Lemon,18.7759521,74.4491316,49.0,15.60509554,10.0,9.0,9.0,9.0,4.25,3.048,2.7432000000000003,1.0
Ahmednagar,Shrigonda,July 2023,2019.0,Fruit,Lemon,18.7758526,74.4491267,47.0,14.96815287,12.0,10.0,10.0,10.0,4.25,3.6576000000000004,3.048,1.0
Ahmednagar,Shrigonda,July 2023,2019.0,Fruit,Lemon,18.7759834,74.4489398,59.0,18.78980892,12.0,10.0,10.0,10.0,4.25,3.6576000000000004,3.048,1.0
Ahmednagar,Shrigonda,July 2023,2019.0,Fruit,Lemon,18.7760166,74.4487838,46.0,14.64968153,8.0,8.0,8.0,8.0,4.25,2.4384,2.4384,1.0
Ahmednagar,Shrigonda,July 2023,2019.0,Fruit,Lemon,18.7761293,74.4485876,45.0,14.33121019,10.0,8.0,9.0,8.5,4.25,3.048,2.5908,1.0
Ahmednagar,Shrigonda,July 2023,2019.0,Fruit,Lemon,18.7761407,74.4487653,38.0,12.10191083,10.0,9.0,10.0,9.5,4.25,3.048,2.8956,1.0
Ahmednagar,Shrigonda,July 2023,2019.0,Fruit,Lemon,18.7758249,74.4491266,42.0,13.37579618,10.0,9.0,9.0,9.0,4.25,3.048,2.7432000000000003,1.0
Ahmednagar,Shrigonda,July 2023,2019.0,Fruit,Lemon,18.7758781,74.448946,62.0,19.74522293,12.0,10.0,10.0,10.0,4.25,3.6576000000000004,3.048,1.0
Ahmednagar,Shrigonda,July 2023,2019.0,Fruit,Lemon,18.7759189,74.4489555,59.0,18.78980892,10.0,8.0,8.0,8.0,4.25,3.048,2.4384,1.0
Ahmednagar,Shrigonda,July 2023,2019.0,Fruit,Lemon,18.7759679,74.4487386,45.0,14.33121019,9.0,8.0,8.0,8.0,4.25,2.7432000000000003,2.4384,1.0
Ahmednagar,Shrigonda,July 2023,2019.0,Fruit,Lemon,18.7758522,74.4489378,51.0,16.24203822,10.0,8.0,9.0,8.5,4.25,3.048,2.5908,1.0
Ahmednagar,Shrigonda,July 2023,2019.0,Fruit,Lemon,18.7757649,74.4491266,45.0,14.33121019,10.0,9.0,9.0,9.0,4.25,3.048,2.7432000000000003,1.0
Ahmednagar,Shrigonda,July 2023,2019.0,Fruit,Lemon,18.7758427,74.4490055,49.0,15.60509554,10.0,8.0,8.0,8.0,4.25,3.048,2.4384,1.0
Ahmednagar,Shrigonda,July 2023,2019.0,Fruit,Lemon,18.7758495,74.4488766,46.0,14.64968153,8.0,7.0,7.0,7.0,4.25,2.4384,2.1336,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Guava,18.8163487,74.4599078,17.0,5.414012739,6.0,3.0,3.0,3.0,3.25,1.8288000000000002,0.9144000000000001,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Guava,18.8163966,74.4599441,14.0,4.458598726,5.0,3.0,3.0,3.0,3.25,1.524,0.9144000000000001,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Guava,18.8165735,74.4599719,13.0,4.140127389,5.0,3.0,3.0,3.0,3.25,1.524,0.9144000000000001,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Guava,18.8166443,74.4599134,11.0,3.503184713,3.0,2.0,2.0,2.0,3.25,0.9144000000000001,0.6096,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Guava,18.8166461,74.4599872,15.0,4.777070064,6.0,3.0,3.0,3.0,3.25,1.8288000000000002,0.9144000000000001,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Guava,18.8169269,74.4600224,29.0,9.23566879,5.0,3.0,3.0,3.0,3.25,1.524,0.9144000000000001,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Guava,18.816982,74.4600255,17.0,5.414012739,5.0,3.0,3.0,3.0,3.25,1.524,0.9144000000000001,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Guava,18.8170587,74.4600239,18.0,5.732484076,6.0,3.0,3.0,3.0,3.25,1.8288000000000002,0.9144000000000001,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Guava,18.8171718,74.4600691,21.0,6.687898089,6.0,3.0,3.0,3.0,3.25,1.8288000000000002,0.9144000000000001,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Guava,18.8172839,74.4600309,22.0,7.006369427,6.0,3.0,3.0,3.0,3.25,1.8288000000000002,0.9144000000000001,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Guava,18.8173878,74.4600608,41.0,13.05732484,7.0,4.0,4.0,4.0,3.25,2.1336,1.2192,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Guava,18.8174411,74.4600348,20.0,6.369426752,6.0,3.0,3.0,3.0,3.25,1.8288000000000002,0.9144000000000001,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Guava,18.8162896,74.4599296,13.0,4.140127389,6.0,3.0,3.0,3.0,3.25,1.8288000000000002,0.9144000000000001,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Guava,18.8163948,74.4599662,12.0,3.821656051,4.0,2.0,2.0,2.0,3.25,1.2192,0.6096,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Guava,18.81641,74.4599933,18.0,5.732484076,6.0,4.0,4.0,4.0,3.25,1.8288000000000002,1.2192,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Mango,18.8165744,74.46004,18.0,5.732484076,6.0,3.0,3.0,3.0,3.25,1.8288000000000002,0.9144000000000001,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Guava,18.8166938,74.4600457,17.0,5.414012739,6.0,3.0,3.0,3.0,3.25,1.8288000000000002,0.9144000000000001,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Guava,18.8167443,74.4600599,21.0,6.687898089,6.0,3.0,3.0,3.0,3.25,1.8288000000000002,0.9144000000000001,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Guava,18.8170185,74.4600975,33.0,10.50955414,7.0,4.0,4.0,4.0,3.25,2.1336,1.2192,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Guava,18.8170378,74.4600772,25.0,7.961783439,7.0,4.0,4.0,4.0,3.25,2.1336,1.2192,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Guava,18.817148,74.4601312,28.0,8.917197452,8.0,4.0,4.0,4.0,3.25,2.4384,1.2192,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Guava,18.8172611,74.4600678,23.0,7.324840764,6.0,4.0,4.0,4.0,3.25,1.8288000000000002,1.2192,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Guava,18.8175665,74.4601286,32.0,10.1910828,8.0,4.0,4.0,4.0,3.25,2.4384,1.2192,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Guava,18.8175261,74.4602,15.0,4.777070064,7.0,4.0,4.0,4.0,3.25,2.1336,1.2192,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Guava,18.8163581,74.4600748,15.0,4.777070064,6.0,3.0,3.0,3.0,3.25,1.8288000000000002,0.9144000000000001,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Guava,18.8164578,74.4600637,16.0,5.095541401,6.0,3.0,3.0,3.0,3.25,1.8288000000000002,0.9144000000000001,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Guava,18.8165086,74.4600826,19.0,6.050955414,8.0,4.0,4.0,4.0,3.25,2.4384,1.2192,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Guava,18.8166617,74.4601172,28.0,8.917197452,5.0,3.0,3.0,3.0,3.25,1.524,0.9144000000000001,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Guava,18.8173428,74.46028,28.0,8.917197452,6.0,4.0,3.0,3.5,3.25,1.8288000000000002,1.0668,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Guava,18.8174091,74.4601909,21.0,6.687898089,6.0,4.0,3.0,3.5,3.25,1.8288000000000002,1.0668,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Guava,18.8174892,74.4602095,22.0,7.006369427,8.0,4.0,4.0,4.0,3.25,2.4384,1.2192,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Guava,18.8162966,74.4601228,17.0,5.414012739,8.0,4.0,4.0,4.0,3.25,2.4384,1.2192,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Guava,18.8164735,74.4601552,17.0,5.414012739,6.0,3.0,3.0,3.0,3.25,1.8288000000000002,0.9144000000000001,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Guava,18.8165131,74.460144,23.0,7.324840764,6.0,3.0,3.0,3.0,3.25,1.8288000000000002,0.9144000000000001,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Guava,18.8166857,74.4601651,23.0,7.324840764,6.0,4.0,3.0,3.5,3.25,1.8288000000000002,1.0668,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Guava,18.8168649,74.4602007,16.0,5.095541401,5.0,3.0,3.0,3.0,3.25,1.524,0.9144000000000001,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Guava,18.8168961,74.4601984,20.0,6.369426752,8.0,4.0,4.0,4.0,3.25,2.4384,1.2192,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Guava,18.8170156,74.4601958,22.0,7.006369427,8.0,4.0,4.0,4.0,3.25,2.4384,1.2192,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Guava,18.8170722,74.4602409,16.0,5.095541401,8.0,4.0,4.0,4.0,3.25,2.4384,1.2192,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Guava,18.8171395,74.4602402,18.0,5.732484076,6.0,4.0,4.0,4.0,3.25,1.8288000000000002,1.2192,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Guava,18.8173353,74.4602867,15.0,4.777070064,6.0,4.0,4.0,4.0,3.25,1.8288000000000002,1.2192,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Guava,18.817297,74.4602366,18.0,5.732484076,8.0,4.0,4.0,4.0,3.25,2.4384,1.2192,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Guava,18.8174444,74.4602686,15.0,4.777070064,6.0,4.0,4.0,4.0,3.25,1.8288000000000002,1.2192,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Guava,18.8175462,74.4602693,32.0,10.1910828,6.0,4.0,4.0,4.0,3.25,1.8288000000000002,1.2192,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Guava,18.8162781,74.4601817,15.0,4.777070064,6.0,3.0,3.0,3.0,3.25,1.8288000000000002,0.9144000000000001,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Guava,18.8164516,74.4602126,16.0,5.095541401,5.0,5.0,4.0,4.5,3.25,1.524,1.3716000000000002,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Guava,18.8166443,74.4602148,21.0,6.687898089,8.0,4.0,4.0,4.0,3.25,2.4384,1.2192,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Guava,18.8168208,74.4602436,25.0,7.961783439,6.0,4.0,3.0,3.5,3.25,1.8288000000000002,1.0668,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Guava,18.8170327,74.4602846,16.0,5.095541401,9.0,5.0,4.0,4.5,3.25,2.7432000000000003,1.3716000000000002,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Guava,18.8170226,74.4602543,21.0,6.687898089,8.0,4.0,4.0,4.0,3.25,2.4384,1.2192,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Guava,18.8170855,74.4602828,16.0,5.095541401,6.0,4.0,3.0,3.5,3.25,1.8288000000000002,1.0668,1.0
